post_tittle,descripcion_corta,precio_c,precio_c_antes,link_temario,duracion,lecciones,profesor,por_que,aprenderas,curso_para_ti,software_usaras,pregunta_1,respuesta_1,pregunta_2,respuesta_2,pregunta_3,respuesta_3,pregunta_4,respuesta_4,pregunta_5,respuesta_5,pregunta_6,respuesta_6,pregunta_7,respuesta_7,pregunta_8,respuesta_8
Curso de Automatización en Revit con Dynamo para Proyectos BIM,Optimiza tus flujos de trabajo en Revit mediante la automatización de procesos repetitivos e inteligencia artificial. Aprende a desarrollar soluciones prácticas que aumenten la productividad en proyectos BIM y aplica metodologías utilizadas por profesionales de la industria.,154.99,199.99,https://designmodelingacademy.com/es/curso/automatizacion-en-revit,9 h 55 min,14 sesiones,"Ing. Pablo Sandoya — Especialista en BIM y automatización (Revit, Navisworks, Dynamo)","La automatización se ha convertido en una de las competencias más demandadas dentro de la metodología BIM. Este curso te permitirá optimizar tiempos de trabajo, reducir errores y desarrollar flujos automatizados en Revit apoyados en herramientas de inteligencia artificial, mejorando la eficiencia en proyectos arquitectónicos, estructurales e interdisciplinarios.","• Automatización de tareas repetitivas de modelado y documentación en Revit. • Integración de herramientas de IA (ChatGPT, Copilot, Adobe Firefly) en tus flujos BIM. • Gestión y manipulación masiva de datos y parámetros. • Desarrollo de flujos de trabajo automatizados aplicados a proyectos reales. • Buenas prácticas para crear procesos ordenados, reutilizables y escalables.","• Profesionales que ya manejan Revit y quieren automatizar y diferenciarse con IA. • Arquitectos, ingenieros y modeladores BIM que buscan aumentar su productividad. • Oficinas de diseño, constructoras y consultoras que desean estandarizar procesos.","Autodesk Revit, AutoCAD, Excel, Adobe Firefly, ChatGPT, Copilot",¿Qué conocimientos previos necesito?,Necesitas manejo básico-intermedio de Revit (el curso está pensado para quien ya modela y quiere automatizar). No necesitas saber programar.,¿Qué software debo instalar?,"Autodesk Revit y AutoCAD (licencias estudiantiles disponibles), Excel, y cuentas de las herramientas de IA que usaremos (ChatGPT, Copilot, Adobe Firefly). Te guiamos en la configuración.",¿Desde qué país puedo estudiar?,"Desde cualquier país. La formación es 100% online y asincrónica: avanzas a tu propio ritmo, sin horarios y desde cualquier zona horaria.",¿Quién imparte el curso?,Instructores certificados con experiencia en proyectos reales de la industria. Encontrarás el perfil del instructor en esta misma página.,¿Cómo accedo al contenido?,"Al inscribirte recibes acceso inmediato a nuestra plataforma, con las clases en video, recursos descargables y ejercicios aplicados de cada módulo.",¿Puedo realizar consultas técnicas?,Sí. Cuentas con acompañamiento profesional y soporte para resolver dudas técnicas durante toda tu formación.,¿El curso incluye certificado?,"Sí. Recibes certificación internacional de Design Modeling Academy con código QR verificable y, según el programa, certificados oficiales Autodesk (somos Centro de Entrenamiento Autorizado).",¿Cuánto tiempo tendré acceso?,Tendrás acceso a la plataforma y a todo el contenido durante el tiempo de duración del programa.
Especialización en Diseño Estructural BIM en Acero para Edificaciones,"Domina el diseño de estructuras de acero de principio a fin: análisis estructural, naves industriales, uniones metálicas y modelado BIM, con software líder y normativas internacionales.",199.99,499.99,https://designmodelingacademy.com/es/especializacion/diseno-estructural-bim-acero,~135 horas (4 meses),59 sesiones · 4 cursos,Ing. Gabriel Pantoja · Ing. Mijail Mayorga,"El acero estructural es una de las áreas mejor pagadas del diseño estructural. Esta especialización te lleva desde el análisis y diseño sísmico hasta las conexiones metálicas y la documentación BIM, para que domines proyectos de acero completos y te diferencies en el mercado laboral.","• Análisis y diseño de estructuras de acero con Robot Structural Analysis. • Cálculo de naves industriales, galpones, cerchas y marcos rígidos. • Uniones metálicas: soldadura, conexiones empernadas y placas. • Modelado BIM en Revit Structure con planos y cantidades de obra.","• Ingenieros civiles, arquitectos, constructores y técnicos del sector construcción que quieren dominar proyectos de acero de principio a fin.","Robot Structural Analysis, Advance Steel, Revit Structure, hojas de cálculo",¿Qué conocimientos previos necesito?,"Se recomienda formación o experiencia en ingeniería, arquitectura o construcción, y conocimientos básicos de análisis estructural.",¿Qué software debo instalar?,"Robot Structural Analysis, Advance Steel y Revit (incluye licencias estudiantiles Autodesk). Te apoyamos con la instalación.",¿Desde qué país puedo estudiar?,"Desde cualquier país. La formación es 100% online y asincrónica: avanzas a tu propio ritmo, sin horarios y desde cualquier zona horaria.",¿Quién imparte el curso?,Instructores certificados con experiencia en proyectos reales de la industria. Encontrarás el perfil del instructor en esta misma página.,¿Cómo accedo al contenido?,"Al inscribirte recibes acceso inmediato a nuestra plataforma, con las clases en video, recursos descargables y ejercicios aplicados de cada módulo.",¿Puedo realizar consultas técnicas?,Sí. Cuentas con acompañamiento profesional y soporte para resolver dudas técnicas durante toda tu formación.,¿El curso incluye certificado?,"Sí. Recibes certificación internacional de Design Modeling Academy con código QR verificable y, según el programa, certificados oficiales Autodesk (somos Centro de Entrenamiento Autorizado).",¿Cuánto tiempo tendré acceso?,Tendrás acceso a la plataforma y a todo el contenido durante el tiempo de duración del programa.
Especialización en Diseño Estructural con Hormigón Armado BIM,"Aprende el diseño estructural de edificaciones de hormigón armado integrando modelado BIM, análisis con Robot Structural Analysis y criterios normativos internacionales.",199.99,499.99,https://designmodelingacademy.com/es/especializacion/diseno-estructural-hormigon-armado-bim,120–130 horas (4 meses),82 sesiones · 3 cursos,Ing. Gabriel Pantoja,El hormigón armado sigue siendo el sistema constructivo más utilizado en Latinoamérica. Esta especialización integra el modelado BIM con el cálculo estructural para que diseñes viviendas y edificaciones completas con herramientas profesionales.,• Modelado BIM de hormigón y acero en Revit. • Diseño de viviendas de hormigón con Robot Structural Analysis. • Diseño estructural de edificaciones de hormigón armado con criterios sísmicos.,"• Ingenieros civiles, arquitectos, constructores y tecnólogos que buscan especializarse en estructuras de hormigón armado con metodología BIM.","Revit Structure, Robot Structural Analysis, hojas de cálculo",¿Qué conocimientos previos necesito?,"Se recomienda formación en ingeniería, arquitectura o construcción y nociones básicas de estructuras.",¿Qué software debo instalar?,Revit y Robot Structural Analysis (incluye licencias estudiantiles Autodesk).,¿Desde qué país puedo estudiar?,"Desde cualquier país. La formación es 100% online y asincrónica: avanzas a tu propio ritmo, sin horarios y desde cualquier zona horaria.",¿Quién imparte el curso?,Instructores certificados con experiencia en proyectos reales de la industria. Encontrarás el perfil del instructor en esta misma página.,¿Cómo accedo al contenido?,"Al inscribirte recibes acceso inmediato a nuestra plataforma, con las clases en video, recursos descargables y ejercicios aplicados de cada módulo.",¿Puedo realizar consultas técnicas?,Sí. Cuentas con acompañamiento profesional y soporte para resolver dudas técnicas durante toda tu formación.,¿El curso incluye certificado?,"Sí. Recibes certificación internacional de Design Modeling Academy con código QR verificable y, según el programa, certificados oficiales Autodesk (somos Centro de Entrenamiento Autorizado).",¿Cuánto tiempo tendré acceso?,Tendrás acceso a la plataforma y a todo el contenido durante el tiempo de duración del programa.
Especialización en Modelado BIM en Arquitectura y MEP,"Desarrolla proyectos BIM completos: modelado arquitectónico, estructural base e instalaciones MEP (HVAC, sanitarias y eléctricas), con coordinación interdisciplinar y documentación técnica.",199.99,499.99,https://designmodelingacademy.com/es/especializacion/modelado-bim-arquitectura-mep,110–130 horas (4 meses),39 sesiones · 3 cursos,Ing. Gabriel Pantoja,"Los proyectos actuales exigen modelos coordinados entre arquitectura, estructura e instalaciones. Esta especialización te forma en el flujo BIM completo para que participes en proyectos interdisciplinarios con las herramientas líderes del mercado.","• Modelado BIM de hormigón y acero en Revit. • Diseño y modelado arquitectónico BIM. • Instalaciones hidrosanitarias y MEP (HVAC, tuberías, sanitarios, eléctricos). • Coordinación interdisciplinar, cuantificación y planos.","• Arquitectos, estudiantes de arquitectura, constructores y técnicos de construcción que quieren dominar el modelado BIM integral.","Revit Arquitectura, Revit Structure, Revit MEP",¿Qué conocimientos previos necesito?,No necesitas experiencia previa en BIM: partimos desde los fundamentos del modelado. Es ideal contar con base en arquitectura o construcción.,¿Qué software debo instalar?,Autodesk Revit (incluye licencias estudiantiles Autodesk). Te guiamos en la instalación.,¿Desde qué país puedo estudiar?,"Desde cualquier país. La formación es 100% online y asincrónica: avanzas a tu propio ritmo, sin horarios y desde cualquier zona horaria.",¿Quién imparte el curso?,Instructores certificados con experiencia en proyectos reales de la industria. Encontrarás el perfil del instructor en esta misma página.,¿Cómo accedo al contenido?,"Al inscribirte recibes acceso inmediato a nuestra plataforma, con las clases en video, recursos descargables y ejercicios aplicados de cada módulo.",¿Puedo realizar consultas técnicas?,Sí. Cuentas con acompañamiento profesional y soporte para resolver dudas técnicas durante toda tu formación.,¿El curso incluye certificado?,"Sí. Recibes certificación internacional de Design Modeling Academy con código QR verificable y, según el programa, certificados oficiales Autodesk (somos Centro de Entrenamiento Autorizado).",¿Cuánto tiempo tendré acceso?,Tendrás acceso a la plataforma y a todo el contenido durante el tiempo de duración del programa.
Especialización en Diseño Estructural y Modelado BIM de Tanques,"Especialízate en el análisis, cálculo y documentación de tanques elevados en hormigón armado y acero: cimentaciones, diseño sísmico y planos estructurales listos para obra.",199.99,499.99,https://designmodelingacademy.com/es/especializacion/diseno-estructural-bim-tanques,42 horas,3 módulos (22 sesiones),Ing. Gabriel Pantoja,"El diseño de tanques elevados es una especialidad técnica muy demandada en proyectos de infraestructura y saneamiento. Aquí aprendes el análisis estructural completo, el modelado paramétrico BIM y los entregables técnicos que exigen los proyectos reales.",• Análisis y diseño de cimentaciones para tanques elevados. • Cálculo de tanques en hormigón armado y acero (Robot/SAP2000 y CSI SAFE). • Planos estructurales para tanques elevados con Revit y AutoCAD. • Diseño sísmico y entregables listos para obra.,"• Calculistas, modeladores BIM, ingenieros civiles, constructores y tecnólogos que quieren dominar una especialidad de alto valor técnico.","AutoCAD, Revit Structure, SAP2000, CSI SAFE, hojas de cálculo",¿Qué conocimientos previos necesito?,Se recomienda base en análisis estructural y manejo básico de software de ingeniería.,¿Qué software debo instalar?,"AutoCAD, Revit, SAP2000 y CSI SAFE. Te apoyamos con la instalación y las licencias estudiantiles disponibles.",¿Desde qué país puedo estudiar?,"Desde cualquier país. La formación es 100% online y asincrónica: avanzas a tu propio ritmo, sin horarios y desde cualquier zona horaria.",¿Quién imparte el curso?,Instructores certificados con experiencia en proyectos reales de la industria. Encontrarás el perfil del instructor en esta misma página.,¿Cómo accedo al contenido?,"Al inscribirte recibes acceso inmediato a nuestra plataforma, con las clases en video, recursos descargables y ejercicios aplicados de cada módulo.",¿Puedo realizar consultas técnicas?,Sí. Cuentas con acompañamiento profesional y soporte para resolver dudas técnicas durante toda tu formación.,¿El curso incluye certificado?,"Sí. Recibes certificación internacional de Design Modeling Academy con código QR verificable y, según el programa, certificados oficiales Autodesk (somos Centro de Entrenamiento Autorizado).",¿Cuánto tiempo tendré acceso?,Tendrás acceso a la plataforma y a todo el contenido durante el tiempo de duración del programa.
"Especialización en Gerencia de Costos, Presupuesto y Control de Obras","Aprende a planificar, presupuestar y controlar obras con herramientas profesionales: análisis presupuestario, cronogramas valorados, rutas críticas y reajuste de precios.",199.99,499.99,https://designmodelingacademy.com/es/especializacion/costos-presupuesto-control-obras,50 horas académicas (2 meses),2 formaciones especializadas,Ing. Pablo Sandoya,"El control de costos define la rentabilidad de un proyecto. Esta especialización te da el método y las herramientas para presupuestar con precisión, planificar cronogramas y controlar la ejecución de obras de principio a fin.",• Costos y presupuestos de viviendas con Excel y Revit. • Cronogramas valorados y curvas de inversión con MS Project. • Rutas críticas PERT y control de actividades. • Fórmula polinómica y reajuste de precios.,"• Arquitectos, ingenieros civiles, residentes de obra, consultores y constructores que gestionan presupuestos y ejecución de proyectos.","Microsoft Project, Excel, Revit",¿Qué conocimientos previos necesito?,No se requiere experiencia previa en costos: partimos de los fundamentos del análisis presupuestario.,¿Qué software debo instalar?,Microsoft Project y Excel. Te guiamos en la configuración de las plantillas de trabajo.,¿Desde qué país puedo estudiar?,"Desde cualquier país. La formación es 100% online y asincrónica: avanzas a tu propio ritmo, sin horarios y desde cualquier zona horaria.",¿Quién imparte el curso?,Instructores certificados con experiencia en proyectos reales de la industria. Encontrarás el perfil del instructor en esta misma página.,¿Cómo accedo al contenido?,"Al inscribirte recibes acceso inmediato a nuestra plataforma, con las clases en video, recursos descargables y ejercicios aplicados de cada módulo.",¿Puedo realizar consultas técnicas?,Sí. Cuentas con acompañamiento profesional y soporte para resolver dudas técnicas durante toda tu formación.,¿El curso incluye certificado?,"Sí. Recibes certificación internacional de Design Modeling Academy con código QR verificable y, según el programa, certificados oficiales Autodesk (somos Centro de Entrenamiento Autorizado).",¿Cuánto tiempo tendré acceso?,Tendrás acceso a la plataforma y a todo el contenido durante el tiempo de duración del programa.
Especialización en Planos BIM Arquitectónico y Estructurales,"Domina la documentación técnica profesional: dibujo 2D en AutoCAD, modelado BIM arquitectónico y planos estructurales con metodología BIM, hasta láminas constructivas integradas.",199.99,499.99,https://designmodelingacademy.com/es/especializacion/planos-bim-arquitectonico-estructural,79 horas (2 meses),42 sesiones · 3 cursos,Ing. Mijail Mayorga,Los planos siguen siendo el entregable central de todo proyecto. Esta especialización te forma como delineante técnico BIM capaz de producir documentación arquitectónica y estructural con estándares profesionales.,• AutoCAD 2D para planos de arquitectura e ingeniería civil. • Diseño y modelado BIM arquitectónico en Revit. • Planos estructurales con metodología BIM. • Láminas constructivas y documentación integrada.,"• Técnicos en delineación, estudiantes y profesionales de arquitectura e ingeniería civil que quieren producir documentación técnica profesional.","AutoCAD 2D, Revit Arquitectura, Revit Structure",¿Qué conocimientos previos necesito?,No necesitas experiencia previa: comenzamos desde el dibujo técnico 2D y avanzamos hacia el modelado BIM.,¿Qué software debo instalar?,AutoCAD y Revit (incluye licencias estudiantiles Autodesk).,¿Desde qué país puedo estudiar?,"Desde cualquier país. La formación es 100% online y asincrónica: avanzas a tu propio ritmo, sin horarios y desde cualquier zona horaria.",¿Quién imparte el curso?,Instructores certificados con experiencia en proyectos reales de la industria. Encontrarás el perfil del instructor en esta misma página.,¿Cómo accedo al contenido?,"Al inscribirte recibes acceso inmediato a nuestra plataforma, con las clases en video, recursos descargables y ejercicios aplicados de cada módulo.",¿Puedo realizar consultas técnicas?,Sí. Cuentas con acompañamiento profesional y soporte para resolver dudas técnicas durante toda tu formación.,¿El curso incluye certificado?,"Sí. Recibes certificación internacional de Design Modeling Academy con código QR verificable y, según el programa, certificados oficiales Autodesk (somos Centro de Entrenamiento Autorizado).",¿Cuánto tiempo tendré acceso?,Tendrás acceso a la plataforma y a todo el contenido durante el tiempo de duración del programa.
Especialización en Diseño y Análisis de Cimentaciones,"Aprende a diseñar cimentaciones superficiales y profundas y muros de contención, integrando criterios geotécnicos, memorias de cálculo y documentación con software especializado.",199.99,499.99,https://designmodelingacademy.com/es/especializacion/diseno-analisis-cimentaciones,99+ horas (2 meses),43 sesiones · 3 cursos,Ing. Manuel Luces,"Toda estructura depende de su cimentación. Esta especialización integra la interacción suelo-estructura, el análisis con software profesional y las memorias de cálculo que exigen los proyectos de ingeniería reales.","• Muros de contención: análisis y diseño. • Cimentaciones en viviendas familiares. • Cimentaciones superficiales y profundas con Robot y CSI SAFE. • Memorias de cálculo, planos y normativa estructural.","• Ingenieros civiles, calculistas estructurales, proyectistas y profesionales de la construcción que diseñan o revisan cimentaciones.","Robot Structural Analysis, CSI SAFE, Revit Structure, planillas de cálculo",¿Qué conocimientos previos necesito?,Se recomienda base en análisis estructural y mecánica de suelos a nivel de pregrado.,¿Qué software debo instalar?,"Robot Structural Analysis, CSI SAFE y Revit. Te apoyamos con la instalación.",¿Desde qué país puedo estudiar?,"Desde cualquier país. La formación es 100% online y asincrónica: avanzas a tu propio ritmo, sin horarios y desde cualquier zona horaria.",¿Quién imparte el curso?,Instructores certificados con experiencia en proyectos reales de la industria. Encontrarás el perfil del instructor en esta misma página.,¿Cómo accedo al contenido?,"Al inscribirte recibes acceso inmediato a nuestra plataforma, con las clases en video, recursos descargables y ejercicios aplicados de cada módulo.",¿Puedo realizar consultas técnicas?,Sí. Cuentas con acompañamiento profesional y soporte para resolver dudas técnicas durante toda tu formación.,¿El curso incluye certificado?,"Sí. Recibes certificación internacional de Design Modeling Academy con código QR verificable y, según el programa, certificados oficiales Autodesk (somos Centro de Entrenamiento Autorizado).",¿Cuánto tiempo tendré acceso?,Tendrás acceso a la plataforma y a todo el contenido durante el tiempo de duración del programa.
Especialización en Diseño y Análisis Profesional en SAP2000,"Especialízate en el análisis y diseño estructural con SAP2000: edificaciones residenciales, instalaciones industriales y diseño sismorresistente con verificación normativa internacional.",199.99,499.99,https://designmodelingacademy.com/es/especializacion/diseno-analisis-profesional-sap,70 horas académicas (2 meses),33 sesiones · 3 cursos,Ing. Gabriel Pantoja,"SAP2000 es uno de los programas de análisis estructural más utilizados del mundo. Esta ruta te lleva del modelado y las cargas estáticas al diseño sísmico y la verificación con normativas ACI, ASCE, EHE, NSR y Eurocódigo, aplicado a proyectos reales.","• Edificios residenciales en hormigón armado. • Instalaciones industriales PRO. • Edificios sismorresistentes en hormigón armado. • Análisis modal, diseño de elementos y verificación normativa.","• Ingenieros civiles, calculistas estructurales, diseñadores de estructuras metálicas y consultores técnicos.",CSI SAP2000,¿Qué conocimientos previos necesito?,Se recomienda formación en ingeniería civil o estructural y conocimientos básicos de análisis de estructuras.,¿Qué software debo instalar?,CSI SAP2000. Te indicamos la versión recomendada y el proceso de instalación.,¿Desde qué país puedo estudiar?,"Desde cualquier país. La formación es 100% online y asincrónica: avanzas a tu propio ritmo, sin horarios y desde cualquier zona horaria.",¿Quién imparte el curso?,Instructores certificados con experiencia en proyectos reales de la industria. Encontrarás el perfil del instructor en esta misma página.,¿Cómo accedo al contenido?,"Al inscribirte recibes acceso inmediato a nuestra plataforma, con las clases en video, recursos descargables y ejercicios aplicados de cada módulo.",¿Puedo realizar consultas técnicas?,Sí. Cuentas con acompañamiento profesional y soporte para resolver dudas técnicas durante toda tu formación.,¿El curso incluye certificado?,"Sí. Recibes certificación internacional de Design Modeling Academy con código QR verificable y, según el programa, certificados oficiales Autodesk (somos Centro de Entrenamiento Autorizado).",¿Cuánto tiempo tendré acceso?,Tendrás acceso a la plataforma y a todo el contenido durante el tiempo de duración del programa.
Especialización en Diseño y Análisis Profesional en ETABS,"Domina el análisis y diseño estructural con ETABS: viviendas y edificaciones en acero, análisis sísmico y dinámico avanzado y cimentaciones profundas para edificios.",199.99,499.99,https://designmodelingacademy.com/es/especializacion/diseno-analisis-profesional-etabs,70 horas académicas (~2 meses),28 sesiones · 3 cursos,Ing. Gabriel Pantoja · Ing. Manuel Luces,"ETABS es el estándar para el análisis de edificaciones. Esta especialización integra el modelado, las cargas, el análisis sísmico avanzado y los aspectos geotécnicos para que diseñes edificios completos con criterio profesional.",• Viviendas unifamiliares en acero estructural. • Edificaciones industriales en acero estructural. • Cimentaciones profundas para edificios. • Análisis sísmico/dinámico avanzado e interpretación normativa.,"• Ingenieros civiles, proyectistas estructurales y profesionales técnicos que buscan dominar ETABS a nivel profesional.",CSI ETABS,¿Qué conocimientos previos necesito?,Se recomienda formación en ingeniería civil o estructural y nociones de diseño sismorresistente.,¿Qué software debo instalar?,CSI ETABS. Te indicamos la versión recomendada y el proceso de instalación.,¿Desde qué país puedo estudiar?,"Desde cualquier país. La formación es 100% online y asincrónica: avanzas a tu propio ritmo, sin horarios y desde cualquier zona horaria.",¿Quién imparte el curso?,Instructores certificados con experiencia en proyectos reales de la industria. Encontrarás el perfil del instructor en esta misma página.,¿Cómo accedo al contenido?,"Al inscribirte recibes acceso inmediato a nuestra plataforma, con las clases en video, recursos descargables y ejercicios aplicados de cada módulo.",¿Puedo realizar consultas técnicas?,Sí. Cuentas con acompañamiento profesional y soporte para resolver dudas técnicas durante toda tu formación.,¿El curso incluye certificado?,"Sí. Recibes certificación internacional de Design Modeling Academy con código QR verificable y, según el programa, certificados oficiales Autodesk (somos Centro de Entrenamiento Autorizado).",¿Cuánto tiempo tendré acceso?,Tendrás acceso a la plataforma y a todo el contenido durante el tiempo de duración del programa.
