campo,valor
nombre,Máster Internacional en BIM Management e Inteligencia Artificial para la Construcción
aval_universitario,Sabal University (EE. UU.) · Validable Senescyt (Ecuador) · Doctrina Qualitas (Europa) · ISTE · 12 certificaciones Autodesk
horas_desglosadas,"1,440 horas totales = 448 h de clases + 496 h de práctica + 496 h de estudio"
modulos_master,1) Fundamentos BIM Management · 2) Metodología ISO 19650 · 3) Herramientas Autodesk (Revit+Navisworks) · 4) Dynamo y Python · 5) IA aplicada a BIM · 6) BIM 4D/5D/6D/7D · 7) Gestión de proyectos · 8) Coordinación multidisciplinaria · 9) Implementación y auditoría BIM · 10) Construcción digital · 11) Automatización avanzada · 12) Proyecto final tipo tesis
mentorias_1a1,Sí — mentorías 1:1 especializadas
masterclasses_vivo,Sí — masterclasses en vivo
proyecto_final,Proyecto final tipo tesis con acompañamiento
networking,Networking internacional — comunidad de alto nivel
certificaciones_12,12 certificaciones internacionales Autodesk (una por módulo)
perfil_egreso,"De modelador/calculista → BIM Manager internacional, líder de proyectos"
opciones_pago,"Precio de lista $2,699.99 · Entrada desde $500 · 12 cuotas de $160 (la web muestra el precio)"
cta_asesoria,Agendar asesoría gratuita de 30 min (calendario/enlace de agenda — el asesor desbloquea beneficios)
bonus_inscripcion,Al inscribirte llevas GRATIS un Diplomado BIM a elección (promo vigente)
profesor,Equipo docente: Ing. Gabriel Pantoja · Ing. Manuel Luces · Ing. Mijail Mayorga · Ing. Pablo Sandoya
software,"Revit, Navisworks, Robot Structural Analysis, Autodesk Construction Cloud, Dynamo, Python, Excel, plataformas IA para AEC"
web,https://designmodelingacademy.com/es/curso/maestria-bim-proyectos-estructurales
